athlete_id,athlete_name,gender,age,date_of_birth,nationality,country_name,sport,event,games_type,year,host_city,team_or_individual,medal,result_value,result_unit,total_olympics_attended,total_medals_won,gold_medals,silver_medals,bronze_medals,country_total_gold,country_total_medals,country_first_participation,country_best_rank,is_record_holder,coach_name,height_cm,weight_kg,notes
ATH-01562,Dorothy Kumar,Female,24,2000-09-16,FIN,Finland,Skeleton,Men's Skeleton,Winter,1936,Garmisch-Partenkirchen,Individual,Gold,172.346,seconds,1,2,1,1,0,161,459,1908,3,No,Bob Bowman,167.2,76.9,-
ATH-01563,Yohan Taylor,Male,36,1988-10-19,FIN,Finland,Cycling,BMX Racing,Summer,1912,Stockholm,Individual,No Medal,4685.803,seconds,2,7,6,1,0,161,459,1908,3,No,Alberto Salazar,182.1,69.3,Personal Best
ATH-01564,Svetlana Nozadze,Female,22,2002-11-02,CRO,Croatia,Tennis,Men's Singles,Summer,2016,Rio de Janeiro,Individual,Gold,5.684,sets,3,1,1,0,0,12,50,1992,38,No,Valentin Lalev,168.0,67.3,-
ATH-01565,Christine Bernard,Female,28,1996-07-05,SUI,Switzerland,Triathlon,Mixed Relay,Summer,1900,Paris,Individual,No Medal,4152.034,seconds,5,3,2,0,1,70,203,1896,12,No,Vladimir Alekna,182.4,65.2,Record broken next day
ATH-01566,Kevin Schneider,Male,16,2008-03-08,USA,United States,Ice Hockey,Women's Ice Hockey,Winter,1928,St. Moritz,Team,Gold,1.225,goals,4,6,5,1,0,1061,2638,1896,1,No,Tadashi Suzuki,195.6,109.1,Comeback after injury
ATH-01567,Elnur Chikovani,Male,42,1982-11-06,RUS,Russia,Gymnastics (Artistic),All-Around,Summer,2020,Tokyo,Individual,No Medal,14.44,points,4,0,0,0,0,194,531,1994,2,No,Glen Mills,159.1,41.5,Withdrew - injury
ATH-01568,Narantsetseg Dubois,Female,30,1994-11-20,TUR,Turkey,Football (Soccer),Men's Football,Summer,1996,Atlanta,Team,No Medal,5.864,goals,4,6,6,0,0,40,99,1908,22,No,Yury Zakharevich,165.7,64.2,Weather-affected
ATH-01569,George Yamamoto,Male,40,1984-05-23,AUS,Australia,Fencing,Epee Team M,Summer,1908,London,Individual,Silver,4.286,touches,2,9,8,1,0,170,554,1896,4,No,Franz Stampfl,188.1,64.8,Season Best
ATH-01570,Adrien Zhao,Male,27,1997-11-13,FRA,France,Archery,Mixed Team,Summer,1900,Paris,Individual,No Medal,245.116,points,2,4,0,4,0,248,844,1896,3,No,Virgilijus Alekna,182.8,71.4,National Record
ATH-01571,Bohdan Kipchoge,Male,41,1983-10-26,ARMinistration,Armenia,Short Track Speed Skating,1500m M,Winter,2002,Salt Lake City,Team,No Medal,157.26,seconds,3,6,5,0,1,4,18,1996,50,No,Renato Canova,177.6,64.3,Equipment issue
ATH-01572,Tomasz Martinez,Male,31,1993-02-04,GER,Germany,Wrestling,Greco-Roman 97kg,Summer,1908,London,Individual,No Medal,3.834,points,1,4,0,2,2,275,854,1896,2,No,Li Yongbo,183.8,73.5,-
ATH-01573,Barbara Sargsyan,Female,26,1998-07-01,NOR,Norway,Athletics,Discus Throw,Summer,1908,London,Individual,No Medal,142.773,seconds,1,0,0,0,0,148,392,1900,2,No,Bob Bowman,176.8,100.0,Withdrew - injury
ATH-01574,Sofia Hernandez,Female,30,1994-03-25,NED,Netherlands,Boxing,Featherweight,Summer,1908,London,Individual,No Medal,1.859,points,4,7,4,0,3,121,380,1900,7,No,Sandor Szabo,186.2,49.2,Equipment issue
ATH-01575,Mary Makarov,Female,22,2002-04-20,RSA,South Africa,Canoe/Kayak,K-1 1000m M,Summer,2004,Athens,Individual,No Medal,581.371,seconds,1,6,5,1,0,23,90,1904,30,No,Bao Chünlai,169.5,85.2,First from country
ATH-01576,Enkhjargal Popescu,Female,26,1998-04-03,ITA,Italy,Swimming,100m Freestyle,Summer,1906,Athens,Individual,No Medal,586.804,seconds,1,6,1,0,5,247,753,1900,4,No,Jon Drummond,169.7,94.9,Youngest competitor
ATH-01577,Antoine Taylor,Male,27,1997-05-01,NED,Netherlands,Boxing,Flyweight,Summer,1904,St. Louis,Individual,No Medal,2.514,points,4,4,4,0,0,121,380,1900,7,No,Andrei Chemerkin,180.8,85.7,-
ATH-01578,Abebe Jones,Male,35,1989-04-13,RUS,Russia,Triathlon,Men's Triathlon,Summer,2000,Sydney,Individual,Gold,7208.8,seconds,1,1,1,0,0,194,531,1994,2,No,Renato Canova,187.1,67.0,-
ATH-01579,Iryna Sokolov,Female,40,1984-04-27,RSA,South Africa,Skeleton,Men's Skeleton,Winter,1972,Sapporo,Individual,No Medal,112.315,seconds,4,1,0,0,1,23,90,1904,30,Olympic Record,Lauren Lynde,166.2,91.7,Equipment issue
ATH-01580,Anna Esposito,Female,17,2007-06-11,GER,Germany,Swimming,400m Individual Medley,Summer,1904,St. Louis,Individual,No Medal,403.321,seconds,5,3,1,0,2,275,854,1896,2,No,Marcus O'Sullivan,177.0,77.6,Comeback after injury
ATH-01581,Kipchoge Miller,Male,41,1983-04-24,AUT,Austria,Volleyball,Women's Indoor Volleyball,Summer,1906,Athens,Team,No Medal,9.503,points,5,0,0,0,0,59,196,1896,18,No,Franz Stampfl,197.8,88.4,Withdrew - injury
ATH-01582,Mariam Ionescu,Female,22,2002-02-15,ITA,Italy,Figure Skating,Women's Singles,Winter,2018,PyeongChang,Individual,No Medal,177.403,points,3,4,3,0,1,247,753,1900,4,No,Virgilijus Alekna,171.7,70.1,-
ATH-01583,Salome Schmidt,Female,41,1983-10-05,BRA,Brazil,Cross-Country Skiing,Team Sprint W,Winter,1994,Lillehammer,Team,No Medal,2570.294,seconds,1,6,4,1,1,37,152,1920,20,No,Béla Károlyi,171.3,57.6,Photo-finish silver
ATH-01584,Mary Sharma,Female,26,1998-09-21,GBR,Great Britain,Figure Skating,Men's Singles,Winter,1988,Calgary,Individual,No Medal,171.858,points,5,3,2,1,0,285,896,1896,2,No,Bob Bowman,159.1,75.8,First from country
ATH-01585,Bolormaa Dupont,Female,27,1997-05-13,TPE,Chinese Taipei,Tennis,Women's Singles,Summer,2024,Paris,Individual,No Medal,4.142,sets,1,8,7,0,1,7,25,1956,45,No,Valentin Lalev,197.7,81.5,Personal Best
ATH-01586,Henrik Zhang,Male,30,1994-12-27,EGY,Egypt,Archery,Individual M,Summer,2004,Athens,Team,No Medal,259.756,points,3,6,3,1,2,8,28,1912,45,No,Glen Mills,172.0,79.2,First from country
ATH-01587,Flaviu Bekele,Male,36,1988-12-02,USA,United States,Cycling,Individual Time Trial,Summer,1896,Athens,Individual,No Medal,8451.82,seconds,1,6,0,3,3,1061,2638,1896,1,No,Vladimir Alekna,190.8,68.8,-
ATH-01588,Vasyl Han,Male,15,2009-01-22,HUN,Hungary,Short Track Speed Skating,Mixed Team Relay,Winter,1932,Lake Placid,Individual,No Medal,234.965,seconds,5,3,2,1,0,182,536,1896,5,No,Alberto Salazar,174.9,74.9,National Record
ATH-01589,Katarzyna Cherono,Female,30,1994-11-15,AUT,Austria,Cycling,Keirin,Summer,1908,London,Individual,No Medal,2124.925,seconds,3,6,6,0,0,59,196,1896,18,No,Vladimir Alekna,187.6,57.1,-
ATH-01590,Julien Park,Male,39,1985-02-17,SWE,Sweden,Football (Soccer),Women's Football,Summer,2024,Paris,Team,No Medal,10.767,goals,1,1,1,0,0,200,648,1896,4,No,Dan Pfaff,183.4,78.8,Withdrew - injury
ATH-01591,Florent Wiśniewski,Male,34,1990-04-14,HKG,Hong Kong,Ski Jumping,Large Hill Individual,Winter,1964,Innsbruck,Team,No Medal,94.646,metres,4,1,1,0,0,3,9,1952,60,No,John Smith,169.8,68.1,-
ATH-01592,Donna Aliyev,Female,19,2005-11-26,FIN,Finland,Archery,Team W,Summer,2008,Beijing,Individual,No Medal,290.74,points,5,1,0,1,0,161,459,1908,3,No,Glen Mills,169.5,78.3,Record broken next day
ATH-01593,Enkhjargal Weber,Female,23,2001-05-22,NGR,Nigeria,Judo,Middleweight,Summer,2024,Paris,Individual,No Medal,2.045,ippon,5,3,3,0,0,13,32,1952,40,No,Renato Canova,162.2,98.5,Technical violation
ATH-01594,Rui Tediashvili,Male,15,2009-06-18,JPN,Japan,Gymnastics (Artistic),Uneven Bars,Summer,1920,Antwerp,Individual,No Medal,12.251,points,5,5,2,2,1,170,497,1912,3,No,Percy Cerutty,168.6,67.4,-
ATH-01595,Alina White,Female,20,2004-06-19,IND,India,Volleyball,Men's Indoor Volleyball,Summer,2016,Rio de Janeiro,Team,No Medal,9.464,points,2,0,0,0,0,10,35,1900,48,No,Percy Cerutty,188.7,69.6,First from country
ATH-01596,Carlos Martirosyan,Male,24,2000-02-18,AUS,Australia,Swimming,50m Freestyle,Summer,1906,Athens,Individual,Bronze,931.991,seconds,4,6,2,3,1,170,554,1896,4,No,Alberto Salazar,192.4,83.9,-
ATH-01597,Enkhjargal Costa,Female,17,2007-10-21,POR,Portugal,Cross-Country Skiing,15km M,Winter,1992,Albertville,Individual,No Medal,8674.102,seconds,1,7,4,0,3,6,29,1912,50,No,Alberto Salazar,165.1,77.3,-
ATH-01598,Ketevan Gheorghe,Female,42,1982-07-04,BRA,Brazil,Luge,Men's Singles,Winter,1948,St. Moritz,Team,Bronze,102.947,seconds,2,8,4,1,3,37,152,1920,20,No,Lauren Lynde,169.2,91.5,-
ATH-01599,Jae-won Fischer,Male,35,1989-09-05,HUN,Hungary,Short Track Speed Skating,Mixed Team Relay,Winter,2018,PyeongChang,Team,No Medal,72.289,seconds,4,2,0,0,2,182,536,1896,5,No,Renato Canova,176.4,67.7,-
ATH-01600,Cristina Ferreira,Female,19,2005-03-01,HKG,Hong Kong,Luge,Team Relay,Winter,1976,Innsbruck,Individual,Silver,174.1,seconds,5,2,1,1,0,3,9,1952,60,Olympic Record,Tadashi Suzuki,171.8,80.9,-
ATH-01601,Enkhjargal Kim,Female,35,1989-07-11,NGR,Nigeria,Volleyball,Men's Indoor Volleyball,Summer,1996,Atlanta,Team,Silver,28.925,points,1,5,2,2,1,13,32,1952,40,No,Lauren Lynde,197.4,65.8,-
ATH-01602,Gunel Li,Female,19,2005-07-06,DEN,Denmark,Rowing,Pair M,Summer,2004,Athens,Team,No Medal,437.337,seconds,1,0,0,0,0,66,260,1896,10,No,Hiroshi Hoketsu,204.9,70.4,-
ATH-01603,Jiajun Bernard,Male,36,1988-03-27,AUT,Austria,Archery,Team M,Summer,1896,Athens,Team,Bronze,290.965,points,5,7,5,0,2,59,196,1896,18,No,Li Yongbo,165.6,72.4,-
ATH-01604,Olga Cherono,Female,28,1996-07-20,GRE,Greece,Rowing,Single Sculls W,Summer,2020,Tokyo,Individual,No Medal,426.828,seconds,2,7,4,0,3,34,116,1896,10,No,Bob Bowman,181.2,65.1,First from country
ATH-01605,Nataliya Gheorghe,Female,15,2009-01-22,NED,Netherlands,Boxing,Super Heavyweight,Summer,1920,Antwerp,Individual,No Medal,2.959,points,1,5,4,0,1,121,380,1900,7,No,Andrei Chemerkin,169.2,76.2,Youngest competitor
ATH-01606,Gunther Biles,Male,18,2006-06-01,USA,United States,Volleyball,Men's Beach Volleyball,Summer,2000,Sydney,Team,No Medal,9.879,points,4,6,4,2,0,1061,2638,1896,1,No,Glen Mills,173.9,93.8,-
ATH-01607,Adrien Tanaka,Male,19,2005-11-26,JPN,Japan,Biathlon,Mass Start W,Winter,1976,Innsbruck,Team,No Medal,2169.651,seconds,4,5,4,0,1,170,497,1912,3,No,Lauren Lynde,183.7,81.5,-
ATH-01608,Nizami Oliveira,Male,38,1986-11-07,ETH,Ethiopia,Fencing,Foil Team W,Summer,1996,Atlanta,Individual,No Medal,8.092,touches,3,1,0,0,1,25,57,1956,30,No,Glen Mills,189.9,87.7,Oldest medalist
ATH-01609,Romain Anderson,Male,22,2002-02-15,AUT,Austria,Bobsled,Monobob W,Winter,2018,PyeongChang,Team,No Medal,221.263,seconds,3,0,0,0,0,59,196,1896,18,No,Andrei Socaci,197.3,87.9,Personal Best
ATH-01610,Mihai Rodriguez,Male,41,1983-03-06,TUR,Turkey,Skeleton,Men's Skeleton,Winter,1936,Garmisch-Partenkirchen,Individual,No Medal,97.55,seconds,3,5,5,0,0,40,99,1908,22,No,Andrei Chemerkin,180.9,68.1,Youngest competitor
ATH-01611,Iryna Orlov,Female,42,1982-02-04,MEX,Mexico,Bobsled,4-man M,Winter,1972,Sapporo,Team,No Medal,234.541,seconds,3,8,3,0,5,14,72,1924,35,No,Gennadi Touretski,192.8,93.4,Record broken next day
ATH-01612,Giorgi Davaadorj,Male,42,1982-06-17,CUB,Cuba,Boxing,Heavyweight,Summer,1900,Paris,Individual,No Medal,1.806,points,2,0,0,0,0,82,226,1900,8,No,Khristo Hristov,162.8,81.4,First from country
ATH-01613,Josef Constantin,Male,28,1996-11-24,BUL,Bulgaria,Cycling,Individual Time Trial,Summer,1896,Athens,Individual,Silver,4251.007,seconds,1,9,8,1,0,54,224,1896,15,No,Anna Tarkhanova,186.5,82.6,Olympic Debut
ATH-01614,Oksana Alekseyev,Female,19,2005-08-04,AZE,Azerbaijan,Diving,3m Synchronized Springboard W,Summer,2012,London,Individual,No Medal,558.675,points,5,0,0,0,0,7,29,1996,45,No,Bao Chünlai,175.3,71.9,Final Appearance
ATH-01615,Agnieszka Kipchoge,Female,32,1992-05-25,PRK,North Korea,Short Track Speed Skating,5000m Relay M,Winter,1976,Innsbruck,Team,No Medal,303.761,seconds,1,7,6,0,1,16,54,1964,35,No,Valentin Lalev,177.2,78.9,-
ATH-01616,Elena Hernandez,Female,29,1995-11-21,UKR,Ukraine,Taekwondo,-58kg M,Summer,2004,Athens,Individual,No Medal,12.597,points,1,4,2,0,2,46,132,1996,22,No,Dan Pfaff,174.7,75.8,First from country
ATH-01617,Klaus Popescu,Male,41,1983-06-19,EGY,Egypt,Biathlon,Pursuit M,Winter,1968,Grenoble,Team,No Medal,3425.983,seconds,3,0,0,0,0,8,28,1912,45,No,Hiroshi Hoketsu,181.6,92.0,-
ATH-01618,Priya Hakobyan,Female,42,1982-06-15,GEO,Georgia,Cycling,BMX Racing,Summer,1996,Atlanta,Individual,No Medal,4679.432,seconds,5,7,5,1,1,7,30,1996,44,No,Jon Drummond,169.9,69.3,-
ATH-01619,Charles Kowalczyk,Male,35,1989-11-04,ARMinistration,Armenia,Gymnastics (Artistic),Uneven Bars,Summer,1996,Atlanta,Individual,No Medal,14.819,points,2,6,0,5,1,4,18,1996,50,No,Yury Zakharevich,156.1,40.9,Withdrew - injury
ATH-01620,Yuki Sokolov,Male,37,1987-12-17,JPN,Japan,Figure Skating,Pairs,Winter,2002,Salt Lake City,Individual,No Medal,321.708,points,5,3,1,1,1,170,497,1912,3,No,Vladimir Alekna,174.4,56.9,Season Best
ATH-01621,Ilham Mwangi,Male,25,1999-04-06,GER,Germany,Judo,Mixed Team,Summer,1906,Athens,Individual,Bronze,7.21,ippon,5,5,0,2,3,275,854,1896,2,No,Dan Pfaff,174.7,61.6,Technical violation
ATH-01622,Gunther Bekele,Male,40,1984-10-11,ARG,Argentina,Triathlon,Men's Triathlon,Summer,1996,Atlanta,Individual,No Medal,3759.226,seconds,3,5,2,2,1,23,77,1920,30,No,Lauren Lynde,185.2,81.6,Season Best
ATH-01623,Emily Volkov,Female,28,1996-05-09,RSA,South Africa,Ski Jumping,Normal Hill Team,Winter,1936,Garmisch-Partenkirchen,Team,No Medal,142.176,metres,2,7,6,0,1,23,90,1904,30,No,Tadashi Suzuki,165.7,61.5,-
ATH-01624,Linda Wójcik,Female,38,1986-07-04,GRE,Greece,Athletics,1500m Run,Summer,2020,Tokyo,Individual,Bronze,131.291,seconds,1,3,2,0,1,34,116,1896,10,No,Renato Canova,179.6,71.3,-
ATH-01625,Anjali Gonzalez,Female,40,1984-06-19,RUS,Russia,Athletics,3000m Steeplechase,Summer,2024,Paris,Individual,Gold,151.057,seconds,3,6,1,5,0,194,531,1994,2,No,Virgilijus Alekna,182.1,82.5,-
ATH-01626,Nikolai Chen,Male,30,1994-07-28,CRO,Croatia,Fencing,Foil Individual W,Summer,2024,Paris,Team,No Medal,6.604,touches,1,0,0,0,0,12,50,1992,38,No,Tadashi Suzuki,163.1,62.1,Final Appearance
ATH-01627,Kamran Ivanov,Male,19,2005-01-19,URS,Soviet Union,Luge,Team Relay,Winter,2002,Salt Lake City,Team,No Medal,113.613,seconds,4,5,5,0,0,473,1122,1952,1,No,Sandor Szabo,166.1,90.5,Personal Best
ATH-01628,Hiroshi Taylor,Male,16,2008-04-19,TUR,Turkey,Weightlifting,73kg,Summer,1912,Stockholm,Individual,No Medal,170.077,kg,5,0,0,0,0,40,99,1908,22,No,John Smith,174.0,70.5,-
ATH-01629,Hakki Robinson,Male,38,1986-10-06,KOR,South Korea,Tennis,Mixed Doubles,Summer,2008,Beijing,Individual,No Medal,1.798,sets,3,2,0,0,2,99,266,1948,5,No,Lauren Lynde,170.5,74.2,Season Best
ATH-01630,Sun Gheorghe,Male,29,1995-12-09,HUN,Hungary,Football (Soccer),Men's Football,Summer,2024,Paris,Team,No Medal,8.122,goals,5,0,0,0,0,182,536,1896,5,No,Virgilijus Alekna,180.9,74.7,Disqualified (false start)
ATH-01631,Patrick Yamamoto,Male,37,1987-11-17,HUN,Hungary,Basketball,Men's Basketball,Summer,1896,Athens,Team,No Medal,19.627,points,3,2,1,0,1,182,536,1896,5,No,Dan Pfaff,181.6,112.2,-
ATH-01632,Denys Davaadorj,Male,28,1996-12-27,GRE,Greece,Triathlon,Men's Triathlon,Summer,1996,Atlanta,Individual,No Medal,4272.159,seconds,3,4,3,0,1,34,116,1896,10,No,Sandor Szabo,192.3,82.0,-
ATH-01633,Karolina Babayev,Female,32,1992-05-01,RUS,Russia,Curling,Women's Curling,Winter,2018,PyeongChang,Team,Gold,1.581,points,4,4,3,1,0,194,531,1994,2,No,Dan Pfaff,179.0,96.0,-
ATH-01634,Michelle Huseynov,Female,24,2000-03-13,POR,Portugal,Short Track Speed Skating,Mixed Team Relay,Winter,1994,Lillehammer,Individual,Gold,143.949,seconds,4,2,2,0,0,6,29,1912,50,No,Bob Bowman,176.5,54.1,Record broken next day
ATH-01635,Hyun-soo Chikovani,Male,28,1996-01-11,ARG,Argentina,Tennis,Women's Doubles,Summer,2020,Tokyo,Individual,No Medal,5.197,sets,1,6,4,2,0,23,77,1920,30,No,Percy Cerutty,192.2,58.0,Weather-affected
ATH-01636,Nino Garcia,Female,19,2005-08-19,ARMinistration,Armenia,Skeleton,Men's Skeleton,Winter,2002,Salt Lake City,Individual,No Medal,104.708,seconds,5,2,1,0,1,4,18,1996,50,No,John Smith,183.5,70.7,First from country
ATH-01637,Gantulga Gantulga,Male,36,1988-05-18,AUT,Austria,Swimming,50m Freestyle,Summer,1900,Paris,Individual,No Medal,664.361,seconds,1,0,0,0,0,59,196,1896,18,No,Béla Károlyi,189.8,86.2,Comeback after injury
ATH-01638,Ketevan Kipchoge,Female,38,1986-01-16,DEN,Denmark,Volleyball,Men's Beach Volleyball,Summer,1896,Athens,Team,Gold,19.928,points,5,3,1,1,1,66,260,1896,10,No,Dan Pfaff,193.2,94.3,-
ATH-01639,Carlos Martinez,Male,17,2007-01-27,GER,Germany,Taekwondo,-49kg W,Summer,1920,Antwerp,Individual,Gold,11.171,points,4,8,1,1,6,275,854,1896,2,World Record,Lauren Lynde,178.5,65.7,Final Appearance
ATH-01640,Mei Yoon,Female,37,1987-11-20,POL,Poland,Cross-Country Skiing,15km M,Winter,2014,Sochi,Individual,Gold,2530.919,seconds,3,1,1,0,0,72,297,1924,9,No,Wei Ping,191.9,81.1,-
ATH-01641,Isabelle Alekseyev,Female,42,1982-12-15,NED,Netherlands,Biathlon,Relay M,Winter,2010,Vancouver,Individual,No Medal,2871.688,seconds,4,2,1,0,1,121,380,1900,7,No,Jon Drummond,184.2,83.2,National Record
ATH-01642,Hasmik Park,Female,29,1995-05-02,ITA,Italy,Ice Hockey,Women's Ice Hockey,Winter,1968,Grenoble,Team,Silver,9.473,goals,5,3,1,1,1,247,753,1900,4,No,Percy Cerutty,193.0,105.0,-
ATH-01643,Krzysztof Singh,Male,39,1985-01-27,BEL,Belgium,Bobsled,Monobob W,Winter,1980,Lake Placid,Team,No Medal,148.025,seconds,5,1,1,0,0,43,158,1900,20,No,Percy Cerutty,189.7,110.0,-
ATH-01644,Halyna Moore,Female,31,1993-01-07,CUB,Cuba,Short Track Speed Skating,1000m W,Winter,1932,Lake Placid,Team,No Medal,270.754,seconds,3,2,1,0,1,82,226,1900,8,No,Arthur Lydiard,170.0,60.0,Withdrew - injury
ATH-01645,Pedro Yang,Male,29,1995-12-19,NED,Netherlands,Judo,Half-Lightweight,Summer,1908,London,Individual,Silver,1.637,ippon,5,2,0,1,1,121,380,1900,7,No,Arthur Lydiard,171.8,84.0,-
ATH-01646,Iryna Choi,Female,41,1983-03-03,IRI,Iran,Luge,Women's Singles,Winter,1994,Lillehammer,Team,No Medal,146.927,seconds,2,6,0,4,2,19,60,1948,34,No,Li Yongbo,164.6,85.7,-
ATH-01647,Guram Zhao,Male,19,2005-11-28,COL,Colombia,Athletics,High Jump,Summer,2024,Paris,Individual,No Medal,95.635,seconds,2,5,4,1,0,8,24,1932,48,No,Bao Chünlai,165.3,101.8,-
ATH-01648,Radek Liu,Male,17,2007-05-16,TPE,Chinese Taipei,Skeleton,Women's Skeleton,Winter,1998,Nagano,Individual,No Medal,136.749,seconds,3,8,4,3,1,7,25,1956,45,No,Béla Károlyi,174.6,73.3,Photo-finish silver
ATH-01649,Andrew Dupont,Male,28,1996-02-15,IND,India,Canoe/Kayak,K-2 500m M,Summer,2008,Beijing,Individual,No Medal,547.498,seconds,3,8,0,4,4,10,35,1900,48,No,Li Yongbo,191.0,84.9,Youngest competitor
ATH-01650,Halyna Mammadov,Female,31,1993-08-16,PAK,Pakistan,Short Track Speed Skating,1000m W,Winter,1994,Lillehammer,Team,No Medal,152.386,seconds,4,5,4,1,0,10,22,1948,45,No,Khristo Hristov,178.5,81.0,Final Appearance
ATH-01651,Florent Sanchez,Male,34,1990-07-06,EGY,Egypt,Shooting,Trap M,Summer,1920,Antwerp,Individual,No Medal,152.994,points,4,1,0,1,0,8,28,1912,45,No,Gennadi Touretski,189.6,75.6,-
ATH-01652,Darya Schmidt,Female,28,1996-12-26,POL,Poland,Taekwondo,-68kg M,Summer,2016,Rio de Janeiro,Individual,No Medal,2.852,points,5,1,1,0,0,72,297,1924,9,No,Li Yongbo,187.7,55.3,Season Best
ATH-01653,Alina Fischer,Female,31,1993-01-28,TUR,Turkey,Curling,Women's Curling,Winter,1924,Chamonix,Team,No Medal,11.162,points,2,1,1,0,0,40,99,1908,22,No,Lauren Lynde,186.2,83.0,Withdrew - injury
ATH-01654,Karen Hasanov,Female,28,1996-11-21,FIN,Finland,Bobsled,4-man M,Winter,2014,Sochi,Team,No Medal,68.187,seconds,2,7,5,1,1,161,459,1908,3,No,Alberto Salazar,195.8,110.0,-
ATH-01655,Lasha Melnyk,Male,32,1992-01-13,AUT,Austria,Athletics,High Jump,Summer,1996,Atlanta,Individual,Gold,76.793,seconds,5,4,2,2,0,59,196,1896,18,No,Wei Ping,178.3,77.1,Weather-affected
ATH-01656,Wei Batjargal,Male,36,1988-09-06,SNG,Singapore,Wrestling,Freestyle 125kg,Summer,2000,Sydney,Individual,Silver,3.845,points,4,3,2,1,0,1,5,1948,62,No,Gennadi Touretski,179.6,127.9,First from country
ATH-01657,Florent Aliyev,Male,24,2000-08-02,IND,India,Fencing,Epee Individual W,Summer,1904,St. Louis,Individual,Silver,2.276,touches,2,3,0,1,2,10,35,1900,48,No,Li Yongbo,191.3,76.6,Disqualified (false start)
ATH-01658,Alexei Kowalski,Male,27,1997-09-14,JPN,Japan,Shooting,50m Rifle 3 Positions W,Summer,2012,London,Individual,Silver,222.974,points,2,8,7,1,0,170,497,1912,3,No,Valentin Lalev,174.1,76.7,Final Appearance
ATH-01659,Jiri Schmidt,Male,19,2005-01-17,BRA,Brazil,Curling,Women's Curling,Winter,2022,Beijing,Team,No Medal,3.002,points,1,3,2,1,0,37,152,1920,20,No,Bao Chünlai,193.7,65.3,Technical violation
ATH-01660,Bolormaa Gupta,Female,30,1994-04-11,RSA,South Africa,Triathlon,Women's Triathlon,Summer,2008,Beijing,Individual,Bronze,4890.696,seconds,1,3,1,1,1,23,90,1904,30,No,Andrei Chemerkin,164.8,63.9,Photo-finish silver
ATH-01661,Olga Li,Female,20,2004-09-12,GER,Germany,Shooting,Trap M,Summer,1896,Athens,Individual,No Medal,166.763,points,3,0,0,0,0,275,854,1896,2,No,Jon Drummond,161.4,84.1,Youngest competitor
ATH-01662,Elaine Taylor,Female,24,2000-02-04,CRO,Croatia,Archery,Team W,Summer,2004,Athens,Individual,No Medal,263.984,points,3,8,8,0,0,12,50,1992,38,No,Renato Canova,186.5,71.9,-
ATH-01663,Klaus Thomas,Male,31,1993-11-09,ETH,Ethiopia,Ice Hockey,Women's Ice Hockey,Winter,1972,Sapporo,Team,No Medal,8.277,goals,2,3,1,0,2,25,57,1956,30,No,Khristo Hristov,188.7,74.7,Record broken next day
ATH-01664,Linda Williams,Female,36,1988-07-06,MEX,Mexico,Cross-Country Skiing,30km M,Winter,1998,Nagano,Team,No Medal,3882.45,seconds,5,4,2,2,0,14,72,1924,35,Olympic Record,Arthur Lydiard,184.7,64.2,Personal Best
ATH-01665,Kevin Jackson,Male,22,2002-04-19,GER,Germany,Alpine Skiing,Slalom W,Winter,1956,Cortina d'Ampezzo,Individual,Gold,251.898,seconds,1,2,1,1,0,275,854,1896,2,No,Arthur Lydiard,186.4,75.0,-
ATH-01666,Robert Mammadov,Male,36,1988-01-04,ESP,Spain,Cycling,Madison,Summer,1912,Stockholm,Individual,No Medal,1987.395,seconds,2,3,3,0,0,50,170,1900,18,No,Valentin Lalev,176.8,68.8,Disqualified (false start)
ATH-01667,Deepika Sharma,Female,34,1990-07-22,CHN,China,Short Track Speed Skating,1000m W,Winter,1988,Calgary,Individual,No Medal,440.22,seconds,3,4,2,1,1,263,636,1932,1,Olympic Record,Marcus O'Sullivan,173.3,70.3,Record broken next day
ATH-01668,Donna Enkhtaivan,Female,37,1987-11-03,RSA,South Africa,Diving,10m Synchronized Platform W,Summer,2012,London,Individual,Silver,579.721,points,1,8,5,2,1,23,90,1904,30,No,Dan Pfaff,171.8,68.0,-
ATH-01669,Leyla Kvinikadze,Female,35,1989-09-06,CHN,China,Speed Skating,Team Pursuit W,Winter,1948,St. Moritz,Team,No Medal,131.731,seconds,1,6,5,1,0,263,636,1932,1,No,Franz Stampfl,191.0,80.6,Photo-finish silver
ATH-01670,Michelle Martin,Female,40,1984-04-02,POL,Poland,Taekwondo,-67kg W,Summer,2012,London,Individual,No Medal,11.845,points,4,6,6,0,0,72,297,1924,9,No,Lauren Lynde,165.5,72.6,Withdrew - injury
ATH-01671,Hiroshi Johnson,Male,40,1984-03-24,ARMinistration,Armenia,Speed Skating,10000m M,Winter,2014,Sochi,Team,No Medal,341.962,seconds,5,4,0,1,3,4,18,1996,50,No,Virgilijus Alekna,169.4,86.6,Personal Best
ATH-01672,Mykhailo Batjargal,Male,16,2008-06-23,ITA,Italy,Canoe/Kayak,Canoe Slalom K-1 W,Summer,1900,Paris,Individual,Bronze,561.787,seconds,5,8,5,2,1,247,753,1900,4,No,Gennadi Touretski,165.1,61.1,National Record
ATH-01673,Zurab Zhao,Male,25,1999-05-14,DPR,North Korea,Football (Soccer),Men's Football,Summer,2016,Rio de Janeiro,Team,Silver,3.498,goals,3,2,0,1,1,16,54,1964,35,No,Wei Ping,186.7,81.9,Comeback after injury
